Model,Make,Year,URL,Description,Pct_domestic_content
Yukon,GMC,2022,https://www.caranddriver.com/gmc/yukon-yukon-xl,"When it comes to large, three-row family-and-cargo-hauling, toy-towing muscle, the 2022 GMC Yukon and Yukon XL SUVs are hard to beat. ",0.46
Savana,GMC,2021,https://www.caranddriver.com/gmc/savana,"A large, traditional, rear-wheel-drive passenger or cargo van, the 2021 GMC Savana is a well-respected commercial vehicle, but one that's showing its age. ",0.478
Sierra HD,GMC,2021,https://www.caranddriver.com/gmc/sierra-2500hd-3500hd,"The GMC Sierra HD has a refined diesel powertrain and impressive capabilities, but Ford and Ram alternatives offer more tech options and more luxurious models. ",0.46
Envoy,GMC,2009,https://www.caranddriver.com/gmc/envoy,No matter which flavor of GM's mid-size SUV you choose—GMC Envoy or Chevrolet TrailBlazer—the truck is basically the same.,0.478
Civic,Honda,2022,https://www.caranddriver.com/honda/civic,"With a fresh look, a refined interior, and updated tech features, the all-new 2022 Honda Civic is poised to retain its position atop the compact car segment. ",0.457142857
Prologue,Honda,2024,https://www.caranddriver.com/honda/prologue,"As Honda begins its journey to an all-electric future, its partnership with General Motors will spawn the 2024 Prologue EV, which we expect will take the form of an SUV. ",0.514516129
CR-V,Honda,2023,https://www.caranddriver.com/honda/cr-v,"The Honda CR-V has all the desirable qualities you could want in a compact SUV: fuel efficiency, interior versatility, and an abundance of modern technology. ",0.566666667
HR-V,Honda,2023,https://www.caranddriver.com/honda/hr-v,A full redesign for 2023 could put the Honda HR-V back in contention with the best small SUVs. Expect to see the new HR-V unveiled by the end of 2022.,0.2
Honda Accord,Honda,2022,https://www.caranddriver.com/honda/accord,"Among the family sedans still offered for sale today, the 2022 Accord stands above the rest for its impeccable driving dynamics, practical interior, and value. ",0.56
Civic Si,Honda,2022,https://www.caranddriver.com/honda/civic-si,The Honda Civic Si returns with a brand-new vibe and the same fun-to-drive philosophy that makes it an awesome performance car for the masses. ,0.457142857
Civic Type R,Honda,2022,https://www.caranddriver.com/honda/civic-type-r,"The next-gen Honda Civic Type R will have a more mature appearance, and we expect the hot hatchback to be even more powerful and fun to lap at the racetrack.  ",0.457142857
Insight,Honda,2022,https://www.caranddriver.com/honda/insight,The Insight is an unassuming hybrid sedan that shares many of the best aspects of the Honda Civic while providing significantly higher fuel economy numbers. ,0.425
Odyssey,Honda,2022,https://www.caranddriver.com/honda/odyssey,"While the name suggests it will turn a road trip into a grand adventure, the Honda Odyssey is more likely to be appreciated for its day-to-day practicality. ",0.7
Passport,Honda,2022,https://www.caranddriver.com/honda/passport,"The Honda Passport is a two-row, mid-size SUV that is capable, spacious, and mostly well-equipped, but otherwise unremarkable.",0.7
Pilot,Honda,2022,https://www.caranddriver.com/honda/pilot,"The Honda Pilot puts an SUV body on a minivan platform, which affords plenty of practicality without the stereotypes that follow anything with sliding doors. ",0.7
Clarity,Honda,2021,https://www.caranddriver.com/honda/clarity,"If you're looking for cutting-edge alternative-fuel technology, the Honda Clarity, which offers two very different powertrains, is a good place to start. ",0.1
Ridgeline,Honda,2021,https://www.caranddriver.com/honda/ridgeline,"The Honda Ridgeline can't match the capabilities of its mid-size rivals, but it's a lot more refined on the road and its cabin is far more practical. ",0.514516129
Fit,Honda,2020,https://www.caranddriver.com/honda/fit,"What the Fit lacks in personality it multiplies twofold in practicality, with a magically spacious back seat and phenomenal fuel economy. ",0.514516129
CR-Z,Honda,2016,https://www.caranddriver.com/honda/cr-z,"The 2016 CR-Z is an ambitious attempt at making a sporty hybrid, but its performance doesn't match its adventurous styling.",0.514516129
Fit EV,Honda,2014,https://www.caranddriver.com/honda/fit-ev,"With the removal of its gas engine, the Fit EV loses everything we love about that car and replaces it with a higher price tag and 82-mile range.",0.514516129
FCX Clarity,Honda,2012,https://www.caranddriver.com/honda/fcx-clarity,The limited-edition FCX Clarity is an electric car that makes its own power using a hydrogen-fed fuel cell.,0.1
Element,Honda,2011,https://www.caranddriver.com/honda/element,"For sale since 2003, the boxy Element continues to offer spacious accommodations and a lot of cargo space.",0.514516129
S2000,Honda,2009,https://www.caranddriver.com/honda/s2000,"Honda's two-seat, four-wheel sportbike offers rear-drive roadster fun in a spectacularly balanced chassis.",0.514516129
Ioniq 7,Hyundai,2024,https://www.caranddriver.com/hyundai/ioniq-7,"The Hyundai Ioniq Seven concept previews an all-electric SUV that's similar to the three-row Palisade, but with a lounge-like interior and other innovations. ",0
RM20 N,Hyundai,2023,https://www.caranddriver.com/hyundai/rm20-n,Hyundai looks to leap from hot hatches like the Veloster N to mid-engine sports cars like Porsche Cayman the with the upcoming RM20 N. ,0.0825
Accent,Hyundai,2022,https://www.caranddriver.com/hyundai/accent,"With a starting price of around $17,000, the 2022 Hyundai Accent is one of the least expensive new cars, but that doesn't mean it's a penalty box.",0.05
Elantra,Hyundai,2022,https://www.caranddriver.com/hyundai/elantra,"The 2022 Hyundai Elantra sports angular exterior details and an upscale cabin, both of which are intended to pull focus away from the segment's heavy hitters.",0.183333333
Elantra N,Hyundai,2022,https://www.caranddriver.com/hyundai/elantra-n,A performance-oriented Hyundai Elantra N is on its way for the 2022 model year and it gets the Veloster N's fire-breathing turbo four-cylinder.,0.183333333
Ioniq 5,Hyundai,2022,https://www.caranddriver.com/hyundai/ioniq-5,"The Ioniq 5 is an all-electric, compact crossover from Hyundai's new Ioniq subbrand, which promises to release two more models within the next four years.",0
Kona,Hyundai,2022,https://www.caranddriver.com/hyundai/kona,"The 2022 Hyundai Kona is more than just a style item, as it offers crisp handling, a nicely-outfitted cabin, and a gutsy optional turbo four.",0
Kona Electric,Hyundai,2022,https://www.caranddriver.com/hyundai/kona-electric,"To compete with the growing number of EVs hitting the market, Hyundai dropped a battery and an electric motor into the Kona to create the 2022 Kona Electric.",0
Kona N,Hyundai,2022,https://www.caranddriver.com/hyundai/kona-n,"Hyundai's in-house performance group gives the Kona crossover more horsepower, an edgier look, a tauter suspension, and an N badge.",0
Nexo,Hyundai,2022,https://www.caranddriver.com/hyundai/nexo,"Not many people are shopping for a hydrogen-powered fuel-cell SUV, but if you are the sole option is the 2022 Hyundai Nexo. Lucky for you, it's pretty good.",0
Palisade,Hyundai,2022,https://www.caranddriver.com/hyundai/palisade,"Although the 2022 Palisade shares a platform with the Kia Telluride, the Hyundai's distinct styling cleverly carves out its own niche despite the similar package.",0.05
Santa Cruz,Hyundai,2022,https://www.caranddriver.com/hyundai/santa-cruz,"The Hyundai Santa Cruz is the company's first pickup truck, and it's a natural competitor for the one-size-fits-all Honda Ridgeline and smaller Ford Maverick.",0.5
Santa Fe,Hyundai,2022,https://www.caranddriver.com/hyundai/santa-fe,"Good looking and practical with a slightly upscale vibe, the 2022 Hyundai Santa Fe offers families a roomy cabin, desirable features, and plenty of curb appeal.",0.5
Sonata,Hyundai,2022,https://www.caranddriver.com/hyundai/sonata,"The Hyundai Sonata sedan offers a flashy façade, an attractive cabin with contemporary features, and fuel-friendly powertrains—all for accessible prices.",0.15
Tucson,Hyundai,2022,https://www.caranddriver.com/hyundai/tucson,"The next step in Hyundai's brand reinvention is the 2022 Tucson, which is expected to elevate the compact SUV's nameplate to a near luxury realm.",0
Veloster N,Hyundai,2022,https://www.caranddriver.com/hyundai/veloster-n,"The Hyundai Veloster N lacks the cachet of the sportiest Honda Civic and VW Golf, but its personality and incredible performance-for-the-dollar deserve acclaim. ",0.025
Venue,Hyundai,2022,https://www.caranddriver.com/hyundai/venue,"The Hyundai Venue is a pint-sized crossover that thrives in urban settings thanks to generous interior space, sprightly handling, and an unbeatable price. ",0
Ioniq,Hyundai,2022,https://www.caranddriver.com/hyundai/ioniq,"While the Hyundai Ioniq hatchback isn't the most interesting car, its hybrid and plug-in-hybrid variants are exceedingly efficient and refreshingly unassuming.",0
Ioniq Electric,Hyundai,2021,https://www.caranddriver.com/hyundai/ioniq-electric,"The 2021 Hyundai Ioniq Electric is a small hatchback with lots of worthwhile features, but its 170-mile driving range doesn't measure up to its rivals'. ",0
Veloster,Hyundai,2021,https://www.caranddriver.com/hyundai/veloster,"Along with a solid roster of standard equipment, the Hyundai Veloster is affordable and fun to drive, but its base engine and interior quality are mediocre.",0.025
Elantra GT,Hyundai,2020,https://www.caranddriver.com/hyundai/elantra-gt,"The 2020 Hyundai Elantra GT is a tidy and efficient package with clean, elegant design, but the GT suffix promises a bit more sportiness than it can deliver.",0.12
Elantra Sport,Hyundai,2018,https://www.caranddriver.com/hyundai/elantra-sport-2018,"The 2018 Hyundai Elantra Sport boasts a high-revving engine, slick manual gearbox, athletic suspension, and good value in a sport compact.",0.183333333
Santa Fe Sport,Hyundai,2018,https://www.caranddriver.com/hyundai/santa-fe-sport,"The 2018 Hyundai Santa Fe Sport offers good value, with a spacious and nicely outfitted interior, a host of available features, and excellent road manners.",0.5
Azera,Hyundai,2017,https://www.caranddriver.com/hyundai/azera,"From its quiet cabin and refined powertrain to its handsome yet mild styling, the Azera offers plenty to appreciate.",0.0825
Equus,Hyundai,2016,https://www.caranddriver.com/hyundai/equus,If you don't want the neighbors to know how deep your pockets are—and don't want to sacrifice luxury—the Equus might be the car for you.,0.0825
Genesis,Hyundai,2016,https://www.caranddriver.com/hyundai/genesis,"Hyundai continues to make cars worthy of serious consideration, and the Genesis is no exception—it's a compelling value in the mid-size luxury game.",0.475
Genesis coupe,Hyundai,2016,https://www.caranddriver.com/hyundai/genesis-coupe,"This particular branch of the Genesis family tree aspires to drift-king greatness and a muscle-car reputation, but achieves neither.",0.475
Tucson Fuel Cell,Hyundai,2016,https://www.caranddriver.com/hyundai/tucson-fuel-cell,"Never visit a gas station again—except for a bag of Fritos, maybe—with the hydrogen-fueled Tucson Fuel Cell.",0
Elantra Touring,Hyundai,2012,https://www.caranddriver.com/hyundai/elantra-touring,"While the Elantra sedan has been overhauled, the Touring wagon trucks on basically the same since its 2009 introduction.",0.183333333
Veracruz,Hyundai,2012,https://www.caranddriver.com/hyundai/veracruz,"Hyundai's size-L crossover is a seven-passenger mommy bus that concentrates on cabin comfort, safety, and ride quality.",0.0825
Entourage,Hyundai,2009,https://www.caranddriver.com/hyundai/entourage,"Fans of traditional sliding-door minivans come to the Kia/Hyundai twins (Sedona/Entourage) for long lists of standard features and options, all at economical prices.",0.0825
Tiburon,Hyundai,2008,https://www.caranddriver.com/hyundai/tiburon,"The Tiburon is often a forgotten car, overshadowed by more youthful players such as the Scion tC and Honda Civic Si.",0.0825
QX55,Infiniti,2022,https://www.caranddriver.com/infiniti/qx55,"Although the boldly styled 2022 QX55 is an all-new model for the Infiniti brand, it shares an interior, powertrain, and suspension with the QX50 SUV.",0.36
Q50,Infiniti,2022,https://www.caranddriver.com/infiniti/q50,"Despite its stout twin-turbo V-6 and value pricing, the Infiniti Q50 sedan isn't as entertaining or luxurious as its peers, putting it at the back of the pack.",0.023333333
Q60,Infiniti,2022,https://www.caranddriver.com/infiniti/q60,"Although the Infiniti Q60 is one of the prettiest coupes on the road, and every trim has a healthy twin-turbo V-6, it's not as compelling as the competition. ",0
QX50,Infiniti,2022,https://www.caranddriver.com/infiniti/qx50,"The Infiniti QX50 is an upper-class compact crossover that's very attractive, but its innovative engine fails to live up to its revolutionary goals. ",0.36
QX60,Infiniti,2022,https://www.caranddriver.com/infiniti/qx60,"Aesthetics matter to premium-SUV buyers, and the 2022 Infiniti QX60 has received a handsome makeover and a new interior that's heavy on luxury.",0.3
QX80,Infiniti,2022,https://www.caranddriver.com/infiniti/qx80,"The Infiniti QX80 is a handsome three-row luxury SUV, but its competitors are more desirable, and the fundamentally similar Nissan Armada is much more affordable. ",0
Q50 Red Sport 400,Infiniti,2020,https://www.caranddriver.com/infiniti/q50-red-sport-400,"The Q50 Red Sport 400 delivers engaging driving dynamics, but it's not as quick and refined as some rivals. ",0.023333333
Q60 Red Sport 400,Infiniti,2020,https://www.caranddriver.com/infiniti/q60-red-sport-400,"Fun to drive and brimming with standard amenities, the Q60 Red Sport 400 is an impressive choice among luxury sport coupes. ",0
Q70,Infiniti,2019,https://www.caranddriver.com/infiniti/q70,"The Q70 is stylish, but good looks and a fetching interior aren't enough to steal the spotlight from fresher foes.",0.01
QX30,Infiniti,2019,https://www.caranddriver.com/infiniti/qx30,The highly stylized QX30 attempts to connect the experience of compact hatchbacks and high-riding crossovers.,0.3
QX70,Infiniti,2017,https://www.caranddriver.com/infiniti/qx70,"Flaunting a rakish, athletic stance and boisterous exhaust note, the QX70 is a snazzy standout.",0.32
EX37,Infiniti,2013,https://www.caranddriver.com/infiniti/ex,"Infiniti calls the EX37 a crossover, but its low-slung stance and intimate interior render it more of a G37 wagon than a luxury SUV.",0.3
G25 / G37,Infiniti,2013,https://www.caranddriver.com/infiniti/g,"With the less-powerful, less-expensive G25 sedan banished from the Infiniti lineup for 2013, the gutsy G37 serves as the entry-level sedan for the Infiniti brand.",0.025
JX35,Infiniti,2013,https://www.caranddriver.com/infiniti/jx,This new three-row luxury SUV is designed to take on the Mercedes-Benz GL-class and the Audi Q7.,0.3
M35 / M37 / M56,Infiniti,2013,https://www.caranddriver.com/infiniti/m,"With a choice of V-6, V-8, or hybrid power and rear- or all-wheel drive, Infiniti's M lineup can be configured to suit a range of preferences.",0.025
QX56,Infiniti,2013,https://www.caranddriver.com/infiniti/qx,"The era when bigger meant better might be behind us, but Infiniti's QX56 lux-u-vee pays no attention.",0.36
F-type,Jaguar,2022,https://www.caranddriver.com/jaguar/f-type,"The Jaguar F-type looks beautiful and sounds incredible, but a small interior and so-so performance stats make it less desirable than better sports cars. ",0.016
E-Pace,Jaguar,2022,https://www.caranddriver.com/jaguar/e-pace,The Jaguar E-Pace is a subcompact luxury crossover that offsets its small back seat and hefty price tag with a stylish design and playful driving manners.,0.145
F-Pace,Jaguar,2022,https://www.caranddriver.com/jaguar/f-pace,"If you like the idea of parking an F-type sports car in your driveway but need something that will accommodate your family, Jaguar's F-Pace SUV is a suitable alternative.",0
F-Pace SVR,Jaguar,2022,https://www.caranddriver.com/jaguar/f-pace-svr,"The 2022 Jaguar F-Pace is one of the most beautifully designed SUVs, and the SVR variant adds fire-breathing V-8 to go along with its great looks. ",0
I-Pace,Jaguar,2022,https://www.caranddriver.com/jaguar/i-pace,"With a statement-making design and enjoyable driving manners, the Jaguar I-Pace is an exciting option among electric vehicles, but it's not a game changer. ",0.016
XF,Jaguar,2022,https://www.caranddriver.com/jaguar/xf,"The Jaguar XF is currently the only sedan sold by the British brand, and its combination of style and driver satisfaction remain attractive. ",0.04
J-Pace,Jaguar,2021,https://www.caranddriver.com/jaguar/j-pace,"Jaguar's first entry in the mid-size SUV genre will be the J-Pace, which we expect to launch as a 2021 model. ",0.016
F-type R / SVR,Jaguar,2020,https://www.caranddriver.com/jaguar/f-type-r-svr,"The F-type R/SVR boasts an exterior design that's as tailored as a tuxedo, but don't be fooled: Underneath it all, this talented Brit places its emphasis on raw power. ",0.016
XE,Jaguar,2020,https://www.caranddriver.com/jaguar/xe,"With handsome looks, athletic driving moves, and a solid warranty, the XE is a competitive small luxury sedan. ",0.016
XF Sportbrake,Jaguar,2020,https://www.caranddriver.com/jaguar/xf-sportbrake,Jaguar's rarified branding spreads into a rarely spied station wagon and creates the sophisticated 2020 XF Sportbrake.,0.04
XJ,Jaguar,2019,https://www.caranddriver.com/jaguar/xj,"As the only Brit in a segment ruled by Germans, the Jaguar XJ has a lot on its shoulders—a weight it bears remarkably well.",0.016
XJR575,Jaguar,2019,https://www.caranddriver.com/jaguar/xjr575,"The Jaguar XJR575 is a luxury sedan with huge power that trades blows with the best bigs from Audi, BMW, and Mercedes-Benz.",0.016
XK,Jaguar,2015,https://www.caranddriver.com/jaguar/xk,"With swooping lines and traditional British styling, the XK is the quintessential grand touring car in the Jaguar range.",0.016
XKR / XKR-S,Jaguar,2015,https://www.caranddriver.com/jaguar/xkr-xkr-s,"With track-tuned suspensions, the XKR and XKR-S deliver brutal performance.",0.016
Grand Cherokee,Jeep,2022,https://www.caranddriver.com/jeep/grand-cherokee,"Off-road readiness meets on-road refinement in the Jeep Grand Cherokee, which finalizes its transition to a more modern, next-generation architecture for 2022. ",0.71
Compass,Jeep,2022,https://www.caranddriver.com/jeep/compass,"The 2022 Jeep Compass looks prettier inside and out, gains tech, and continues to offer the off-road-oriented Trailhawk model. ",0.2
Grand Wagoneer,Jeep,2022,https://www.caranddriver.com/jeep/grand-wagoneer,"The Jeep Grand Wagoneer has three-row seating, tons of tech features, and attempts to put the lifestyle brand's big wagon on par with other large luxury SUVs.",0.67
Wagoneer,Jeep,2022,https://www.caranddriver.com/jeep/wagoneer,"Jeep is getting into the large, three-row SUV game with the 2022 Wagoneer, which boasts V-8 power, a deluxe cabin, and a lot of tech features. ",0.495
Renegade,Jeep,2022,https://www.caranddriver.com/jeep/renegade,"Not only is the Jeep Renegade adorable and affordable, but it's boosted by both brand recognition and legitimate off-road chops that subcompact rivals can't match. ",0.14
Wrangler,Jeep,2022,https://www.caranddriver.com/jeep/wrangler,"Just hearing the name Jeep conjures images of off-road adventure, and the 2022 Wrangler is likely the vehicle most people think of in that scenario. ",0.6
Cherokee,Jeep,2021,https://www.caranddriver.com/jeep/cherokee,"The Jeep Cherokee's off-road chops and towing ability are unmatched in this class, but it feels bigger outside and smaller inside compared with compact rivals. ",0.71
Gladiator,Jeep,2021,https://www.caranddriver.com/jeep/gladiator,"With a cargo bed mounted on the back and removable body panels, the Gladiator gives Jeep fans and off-roaders a more versatile tool that's still really cool. ",0.65
Grand Cherokee L,Jeep,2021,https://www.caranddriver.com/jeep/grand-cherokee-l,"Jeep is taking its Grand Cherokee to the family level for 2021 with the introduction of the three-row Grand Cherokee L, which also sports more modern tech.",0.71
Grand Cherokee SRT,Jeep,2021,https://www.caranddriver.com/jeep/grand-cherokee-srt,"The 2021 Jeep Grand Cherokee SRT is an exercise in overkill, but its sports-car-rivaling grip and roaring Hemi make it a performance powerhouse. ",0.71
Grand Cherokee Trackhawk,Jeep,2021,https://www.caranddriver.com/jeep/grand-cherokee-trackhawk,"With a raucous 707-hp Hellcat motor, the Jeep Grand Cherokee Trackhawk is great at outrunning sports cars and expediting family road trips.",0.71
Grand Cherokee SRT / Trackhawk,Jeep,2018,https://www.caranddriver.com/jeep/grand-cherokee-srt-trackhawk-2018,"The Jeep Grand Cherokee SRT and Trackhawk are hyper-horsepower SUVs that defy the laws of physics with  otherworldly, track-capable acceleration and handling.  ",0.71
Patriot,Jeep,2017,https://www.caranddriver.com/jeep/patriot,Those seeking an affordable off-roader should check out the Patriot.,0.05
Liberty,Jeep,2012,https://www.caranddriver.com/jeep/liberty,"If you want some serious off-road ability in a small SUV, look no further.",0.495
Commander,Jeep,2010,https://www.caranddriver.com/jeep/commander,"The biggest Jeep isn't as refined as many of its car-based competitors, but it's adept off-road, seats up to seven, and will tow a heavy load with the optional Hemi V-8.",0.495
GS-6 and Revero GT,Karma,2021,https://www.caranddriver.com/karma/gs-6-revero-gt,The Karma GS-6 and Revero GT sedans combine breathtaking bodywork with a luxurious interior and either battery-electric or gas-electric powertrains. ,
Sportage,Kia,2023,https://www.caranddriver.com/kia/sportage,"The Kia Sportage is about to commence a new generation, and the compact crossover has one of the most interesting designs in its highly competitive class.",0
EV9,Kia,2024,https://www.caranddriver.com/kia/ev9,"The Kia EV9 SUV will join the Korean brand's electric-vehicle lineup and could offer seating for seven, a 300-mile range, and Telluride-inspired styling.",0.117857143
Niro,Kia,2023,https://www.caranddriver.com/kia/niro,"The redesigned 2023 Kia Niro hybrid and plug-in hybrid offer a unique design, a sustainable interior, and enough personality to be cool.",0
Niro EV,Kia,2023,https://www.caranddriver.com/kia/niro-ev,"The Kia Niro EV receives a redesign that makes the all-electric subcompact SUV look more futuristic and, hopefully, brings with it a longer driving range. ",0
Carnival,Kia,2022,https://www.caranddriver.com/kia/carnival,"Kia is poised to stay in the minivan game with the all-new 2022 Carnival, and on our initial test drive it proved it's ready to compete.  ",0.117857143
EV6,Kia,2022,https://www.caranddriver.com/kia/ev6,"The new Kia EV6, which looks more interesting than its name suggests, will be the first of many fully electrified Kia models that are set to enter the market. ",0.117857143
Forte,Kia,2022,https://www.caranddriver.com/kia/forte,"Kia is hoping the 2022 Forte's styling will make you think of the brand's Stinger sports sedan, but this compact is more value-focused than performance-oriented.",0.05
K5,Kia,2022,https://www.caranddriver.com/kia/k5,"The Kia K5 is one of the most extroverted family sedans and one of the most compelling, with lots of desirable features and a 290-hp engine option. ",0.55
Rio,Kia,2022,https://www.caranddriver.com/kia/rio,With a sophisticated driving experience and plenty of standard features the subcompact Rio sedan and hatchback offer a lot of car for not a lot of money. ,0.05
Seltos,Kia,2022,https://www.caranddriver.com/kia/seltos,"Based on the same platform as the Hyundai Kona, the 2022 Kia Seltos offers similarly sharp handling but teams it with a taller ride height and a roomier cabin. ",0
Sorento,Kia,2022,https://www.caranddriver.com/kia/sorento,"Despite a small third row that can shrink the cargo area, the Kia Sorento is a dapper mid-size SUV that's comfy and nice to drive with myriad powertrain options. ",0.5
Soul,Kia,2022,https://www.caranddriver.com/kia/soul,"The 2022 Kia Soul puts the fun in functional with its distinctly boxy design and remarkably roomy cabin, but it doesn't offer all-wheel drive like other SUVs.",0
Stinger,Kia,2022,https://www.caranddriver.com/kia/stinger,"Despite the brand's blue-collar roots, the 2022 Kia Stinger has the features, design, and driving verve to take on sports sedans from luxury-branded rivals. ",0
Telluride,Kia,2022,https://www.caranddriver.com/kia/telluride,"The three-row Kia Telluride isn't a typical mid-size SUV, it's a genuinely great value with gorgeous styling as well as generous interior space and features.",0.5
Sedona,Kia,2021,https://www.caranddriver.com/kia/sedona-2021,"The 2021 Kia Sedona succeeds at blending crossover styling with the utility of a minivan, but it can't match its rivals in terms of interior flexibility or technology. ",0
Cadenza,Kia,2020,https://www.caranddriver.com/kia/cadenza,The Cadenza—like the larger K900 and smaller Stinger sports sedan—offers luxury-car comfort and features at a steep discount versus premium-badged rivals. ,0.117857143
K900,Kia,2020,https://www.caranddriver.com/kia/k900,"Smooth and well-equipped, the K900 is a capable premium sedan with a price that undercuts rival luxury cars. ",0.117857143
Optima,Kia,2020,https://www.caranddriver.com/kia/optima,"Despite a handsome exterior and interior, the Kia Optima is a family-friendly sedan with multiple powertrains that doesn't really stand out. ",0.117857143
Soul EV,Kia,2021,https://www.caranddriver.com/kia/soul-ev,"The now canceled 2021 Kia Soul EV would have made for a competitive EV with competitive real-world driving range, a nicely crafted cabin, and plenty of practicality. ",0
Forte Koup,Kia,2016,https://www.caranddriver.com/kia/forte-koup,"The Forte coupe—or Koup, in Kia-speak—is sportier and more elegant than other Fortes; it's also well equipped and surprisingly refined.",0.05
Borrego,Kia,2010,https://www.caranddriver.com/kia/borrego,"A Ford Explorer alternative, the big, body-on-frame Borrego offers seven-passenger capacity, a choice of V-6 or DOHC V-8, and up to 7500lbs of towing capacity.",0.117857143
Rondo,Kia,2010,https://www.caranddriver.com/kia/rondo,"Smartly styled and somewhat unusual, the Rondo has acceptable handling, optional seven-passenger seating, and tons of practicality.",0.117857143
Amanti,Kia,2009,https://www.caranddriver.com/kia/amanti,"This Korean Buick offsets Kia's youthful lineup with plush American-style luxury and an indulgent ride, all priced below a nicely equipped Camry.",0.117857143
Spectra,Kia,2009,https://www.caranddriver.com/kia/spectra,"Kia's subcompact sedan proves a fairly entertaining mix of agility and economy, especially in sporty SX trim.",0.117857143
Spectra5,Kia,2009,https://www.caranddriver.com/kia/spectra5,"With others like the Toyota Corolla wagon and Honda Civic hatchback long gone, the Spectra5 is one of the market's only wee wagons.",0.0175
Jesko,Koenigsegg,2021,https://www.caranddriver.com/koenigsegg/jesko,"With its abundant power, innovative amenities, and futuristic design, the Koenigsegg Jesko is a hypercar that's nothing less than iconic. ",
Regera,Koenigsegg,2020,https://www.caranddriver.com/koenigsegg/regera,Koenigsegg's cutting edge hybrid technology and innovative engineering shine through in the highly exclusive and high-powered 2020 Regera. ,
Urus,Lamborghini,2021,https://www.caranddriver.com/lamborghini/urus,The Urus weds tremendous performance capabilities and wild styling to every-day practicality in a super-ute that transcends the SUV genre. ,0
Countach,Lamborghini,2022,https://www.caranddriver.com/lamborghini/countach,"Arguably the godfather of supercars, the Lamborghini Countach returns with a retro design, an 802-hp hybrid powertrain—and it's already sold out. ",0
Aventador,Lamborghini,2022,https://www.caranddriver.com/lamborghini/aventador,"The Lamborghini Aventador is one of the most exotic-looking cars in the world, and its final form roars into the sunset in limited numbers with a 769-hp V-12. ",0
Huracán,Lamborghini,2021,https://www.caranddriver.com/lamborghini/huracan,"The Huracán has the exotic design to make onlookers drool, the V-10 sounds to make spines tingle, and the price to remind most people they'll never own one. ",0
Sián,Lamborghini,2021,https://www.caranddriver.com/lamborghini/sian,"Packing an 808-hp hybrid V-12 powertrain that's powered by a supercapacitor, the Lamborghini Sián is a technically and visually outrageous hypercar. ",0
Gallardo,Lamborghini,2014,https://www.caranddriver.com/lamborghini/gallardo,"Soon to be replaced by the Huracán, this baby bull still turns heads.",0
Murciélago,Lamborghini,2009,https://www.caranddriver.com/lamborghini/murcielago,"From the mellifluous sound of its V-12 engine to the much-copied scissor doors, the Murciélago is the archetypal Italian exotic.",0
Defender 80,Land Rover,2023,https://www.caranddriver.com/land-rover/defender-80,"Land Rover knows we can't get enough of the Defender, so it's gearing up to introduce the smaller, subcompact Defender 80. ",0.01
Discovery,Land Rover,2023,https://www.caranddriver.com/land-rover/discovery,"For those seeking a luxurious SUV that can also tackle challenging off-road trails, the 2023 Land Rover Discovery is one of few choices. ",0.07
Defender,Land Rover,2022,https://www.caranddriver.com/land-rover/defender,"From businesslike off-roader to luxuriously appointed overlander, the 2022 Land Rover Defender is an adventure-mobile with prodigious capability.",0.01
Discovery Sport,Land Rover,2022,https://www.caranddriver.com/land-rover/discovery-sport,"With desirable features, all-wheel drive, and an upscale appearance, the 2022 Discovery Sport is a distillation of Land Rover's go-anywhere-in-comfort ethos. ",0
Range Rover Evoque,Land Rover,2022,https://www.caranddriver.com/land-rover/range-rover-evoque,"While many of its rivals justify their existence with stirring performance or outsized cargo capacity, the 2022 Range Rover Evoque trades on style.",0.45
Range Rover,Land Rover,2022,https://www.caranddriver.com/land-rover/range-rover,"Conceived as a utilitarian SUV with Jeep-like off-road capability, the Range Rover has had a glow-up since its introduction in 1970, and is now a luxury limo for the elite. ",0.45
Range Rover Sport,Land Rover,2022,https://www.caranddriver.com/land-rover/range-rover-sport,"Slightly smaller and more agile than the regular Range Rover, the 2022 Range Rover Sport offers similar luxury and cachet with a less painful price tag. ",0.45
Range Rover Sport Supercharged,Land Rover,2022,https://www.caranddriver.com/land-rover/range-rover-sport-supercharged-svr,"The 2022 Range Rover Sport Supercharged and SVR models are for a different breed of buyer, one who's looking for attitude and a thumping V-8 engine. ",0.7
Range Rover Velar,Land Rover,2022,https://www.caranddriver.com/land-rover/range-rover-velar,One look at the 2022 Range Rover Velar is enough to convince even the most discerning eye that Land Rover's designers hit the nail on the head.,0.45
LR4,Land Rover,2016,https://www.caranddriver.com/land-rover/lr4,"The safari-ready LR4 is the automotive equivalent of Bear Grylls, albeit with James Bond's wardrobe.",0.07875
LR2,Land Rover,2015,https://www.caranddriver.com/land-rover/lr2,"If you truly need a vehicle that can conquer both the mall's parking lot and the great outdoors, the LR2 is your ute.",0.07875
LR3,Land Rover,2009,https://www.caranddriver.com/land-rover/lr3,"The LR3 has a classically simple and clean Rover look, and it hews to tradition with body-on-frame construction and a tough, off-road-ready, fully independent suspension.",0.07875
ES,Lexus,2022,https://www.caranddriver.com/lexus/es,"In a segment dominated by sports sedans the 2022 Lexus ES is a sedate entry that offers comfort, handsome appointments, and a smooth ride. ",0.475
GX,Lexus,2022,https://www.caranddriver.com/lexus/gx,"The Lexus GX has been around for a long time, and although its body-on-frame construction is outdated, its charms lie in its off-road ability and quiet cabin. ",0
